expense_category,payee_name,payee_clean,total
Media,Severna Park Voice,Severna Park Voice,Severna Park Voice
Media,Severna Park Voice,Severna Park Voice,Severna Park Voice
Media,Severna Park Voice,Severna Park Voice,Severna Park Voice
Media,Severna Park Voice,Severna Park Voice,Severna Park Voice
Media,Severna Park Voice,Severna Park Voice,Severna Park Voice
Media,Severna Park Voice,Severna Park Voice,Severna Park Voice
Media,Severna Park Voice,Severna Park Voice,Severna Park Voice
Media,Severna Park Voice,Severna Park Voice,Severna Park Voice
Media,Severna Park Voice,Severna Park Voice,Severna Park Voice
Media,Severna Park Voice,Severna Park Voice,Severna Park Voice
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC,Severnhanna Strategies  LLC
Media,Sexton Group,Sexton Group,Sexton Group
Media,Shannon Leadbetter,Shannon Leadbetter,Shannon Leadbetter
Media,Shannon Leadbetter,Shannon Leadbetter,Shannon Leadbetter
Media,Shantell Burroughs,Shantell Burroughs,Shantell Burroughs
Media,Sharon Nuzback,Sharon Nuzback,Sharon Nuzback
Media,Sharper Graphics  Inc,Sharper Graphics  Inc,Sharper Graphics  Inc
Media,Shauna Henson,Shauna Henson,Shauna Henson
Media,Shawn Poulson,Shawn Poulson,Shawn Poulson
Media,Sheets and Associates,Sheets and Associates,Sheets and Associates
Media,Sheets and Associates,Sheets and Associates,Sheets and Associates
Media,Sheets and Associates,Sheets and Associates,Sheets and Associates
Media,Sheets and Associates,Sheets and Associates,Sheets and Associates
Media,Sheets and Associates,Sheets and Associates,Sheets and Associates
Media,Shepard Design - Joe Shepard,Shepard Design - Joe Shepard,Shepard Design - Joe Shepard
Media,Shlomo Khoshayev,Shlomo Khoshayev,Shlomo Khoshayev
Media,Shore Home and Garden Magazine,Shore Home and Garden Magazine,Shore Home and Garden Magazine
Media,Shore Media Inc,Shore Media Inc,Shore Media Inc
Media,Shore Media Inc,Shore Media Inc,Shore Media Inc
Media,Shore Media Inc,Shore Media Inc,Shore Media Inc
Media,Shore Media Inc,Shore Media Inc,Shore Media Inc
Media,Shuttershock,Shuttershock,Shuttershock
Media,Sign Rocket,Sign Rocket,Sign Rocket
Media,Sign Up Genius,Sign Up Genius,Sign Up Genius
Media,Sign Up Now LLC,Sign Up Now LLC,Sign Up Now LLC
Media,Sign Xpert,Sign Xpert,Sign Xpert
Media,Signarama of Dundalk,Signarama of Dundalk,Signarama of Dundalk
Media,Signs on the Cheap,SIgns on The Cheap,Signs on the Cheap
Media,Silver Chips,Silver Chips,Silver Chips
Media,Silver Chips,Silver Chips,Silver Chips
Media,Silver Chips Newspaper,Silver Chips Newspaper,Silver Chips Newspaper
Media,Silver Spring - Takoma Thunderbolts,Silver Spring - Takoma Thunderbolts,Silver Spring - Takoma Thunderbolts
Media,Silverado Printing,Silverado Printing,Silverado Printing
Media,Simple Texting,Simple Texting,Simple Texting
Media,Simple Texting,Simple Texting,Simple Texting
Media,Simple Texting,Simple Texting,Simple Texting
Media,Simple Texting,Simple Texting,Simple Texting
Media,Simple Texting  LLC,Simple Texting  LLC,Simple Texting  LLC
Media,Simple Texting  LLC,Simple Texting  LLC,Simple Texting  LLC
Media,Simple Texting  LLC,Simple Texting  LLC,Simple Texting  LLC
Media,Simple Texting  LLC,Simple Texting  LLC,Simple Texting  LLC
Media,Simple Texting  LLC,Simple Texting  LLC,Simple Texting  LLC
Media,Simple Texting  LLC,Simple Texting  LLC,Simple Texting  LLC
Media,Simple Texting  LLC,Simple Texting  LLC,Simple Texting  LLC
Media,Simple Texting  LLC,Simple Texting  LLC,Simple Texting  LLC
Media,Simple Texting  LLC,Simple Texting  LLC,Simple Texting  LLC
Media,Simple Texting  LLC,Simple Texting  LLC,Simple Texting  LLC
Media,Simple Texting  LLC,Simple Texting  LLC,Simple Texting  LLC
Media,Simple Texting  LLC,Simple Texting  LLC,Simple Texting  LLC
Media,Simply Bowie Publication,Simply Bowie Publication,Simply Bowie Publication
Media,Simply Magazines,Simply Magazines,Simply Magazines
Media,Sisters 4 Sisters  Inc.,Sisters 4 Sisters  Inc.,Sisters 4 Sisters  Inc.
Media,Sisters4Sisters Inc.,Sisters4Sisters Inc.,Sisters4Sisters Inc.
Media,Sisters4Sisters Org.,Sisters4Sisters Org.,Sisters4Sisters Org.
Media,SiteBuilder.com,SiteBuilder.com,SiteBuilder.com
Media,SiteGround Hosting Ltd,SiteGround Hosting Ltd,SiteGround Hosting Ltd
Media,Siteground Hosting,Siteground Hosting,Siteground Hosting
Media,Skipio,Skipio,Skipio
Media,Skipio,Skipio,Skipio
Media,Skipio,Skipio,Skipio
Media,Skipio,Skipio,Skipio
Media,Skipio,Skipio,Skipio
Media,Sloane Walker,Sloane Walker,Sloane Walker
Media,Sloane Walker,Sloane Walker,Sloane Walker
Media,Smart Call Media,Smart Call Media,Smart Call Media
Media,Smart Call Media,Smart Call Media,Smart Call Media
Media,SmartCall,SmartCall,SmartCall
Media,SmartCall,SmartCall,SmartCall
Media,SmartCall,SmartCall,SmartCall
Media,SmartCall,SmartCall,SmartCall
Media,SmartCall,SmartCall,SmartCall
Media,SmartCall,SmartCall,SmartCall
Media,Smartcall Media  Inc.,Smartcall Media  Inc.,Smartcall Media  Inc.
Media,Smith  Jamila for Board of Education,Smith  Jamila for Board of Education,Smith  Jamila for Board of Education
Media,Smith  Jamila for Board of Education,Smith  Jamila for Board of Education,Smith  Jamila for Board of Education
Media,Smoking Shield's Maryland,Smoking Shield's Maryland,Smoking Shield's Maryland
Media,SmugMug,SmugMug,SmugMug
Media,Snap  Inc.,Snap  Inc.,Snap  Inc.
Media,Snap  Inc.,Snap  Inc.,Snap  Inc.
Media,Sno Sites,Sno Sites,Sno Sites
Media,Snyder Pickerill Media Group,Snyder Pickerill Media Group,Snyder Pickerill Media Group
Media,Snyder Pickerill Media Group,Snyder Pickerill Media Group,Snyder Pickerill Media Group
Media,SoGoSurvey,SoGoSurvey,SoGoSurvey
Media,SoMD NEWS Net,SoMD NEWS Net,SoMD NEWS Net
